# GENERATED by build/select_foods.py -- do not edit by hand.
# Family tags derived from each food's USDA description, so that search by
# family works for the bulk-imported foods too. Hand-written entries in
# aliases.txt take precedence over anything here.
# slug | (no alternative names) | tags
ricebranoil||cereal,fat,grain,oil
wheatgermoil||cereal,fat,grain,oil
palmoil||fat,oil
sesameoilsaladorcooking||fat,oil,seed
cottonseedoilsaladorcooking||fat,oil,seed
grapeseedoil||fat,oil
walnutoil||fat,nut,oil
almondoil||fat,nut,oil
apricotkerneloil||fat,oil
chickenbroilersorfryers||cereal,grain,meat,poultry
chickenbroilersorfryersdarkm||cereal,grain,meat,poultry
chickenbroilersorfryersback||cereal,grain,meat,poultry
chickenbroilerorfryersbreast||cereal,grain,meat,poultry
turkeyneck||meat,poultry
turkeydarkmeat||meat,poultry
turkeyback||meat,poultry
chickencornishgamehens||cereal,grain,meat,poultry
turkeydrumstickfromwholebird||meat,poultry
gjetostcheese||cheese,dairy
limburgercheese||cheese,dairy
mozzarellacheeselowmoisturep2||cheese,dairy
neufchatelcheese||cheese,dairy
parmesancheesegrated||cheese,dairy
ricottacheesepartskimmilk||cheese,dairy
sourdressingnonbutterfatcult||dairy
milksubstitutesfluidwithlaur||dairy,fat,oil
producermilkfluid37milkfat||dairy
buttermilkmilk||dairy
humanmilkmaturefluid||dairy
wheysweetfluid||dairy
mexicanblendcheese||cheese,dairy
allspiceground||spice
aniseseed||spice
chervil||spice
chilipowder||spice
fennelseed||spice
garlicpowder||allium,spice
onionpowder||allium,spice
poultryseasoning||meat,poultry,spice
peanutoilsaladorcooking||fat,oil
soybeanoilsaladorcooking||fat,legume,oil,pulse
coconutoil||fat,oil
oliveoilsaladorcooking||fat,oil
cocoabutteroil||fat,oil
vegetableoilpalmkernel||fat,oil
poppyseedoil||fat,oil
tomatoseedoil||fat,nightshade,oil
soybeanlecithinoil||fat,legume,oil,pulse
hazelnutoil||fat,nut,oil
pamcookingsprayoiloriginal||fat,oil
cookingandsaladoilenova80dig||fat,oil
chickenbroilersorfryerslight||cereal,grain,meat,poultry
turkey||meat,poultry
turkeywing||meat,poultry
turkeythighfromwholebird||meat,poultry
acerolajuice||fruit
appleswithoutskin||fruit
applessulfured||fruit
avocadoscalifornia||fruit
avocadosflorida||fruit
cherriestartsweetened||fruit
cranberriessweetened||berry,fruit
currantszante||berry,fruit
custardapplebullocksheart||fruit,meat,offal,organ meat
beefroundtoproundsteak||beef,meat,red meat
beefroundtoproundroast||beef,meat,red meat
beefroundeyeofroundroast||beef,meat,red meat
beefroundeyeofroundsteak||beef,meat,red meat
beeflointenderloinroast||beef,meat,red meat
beeflointoploinsteaklipoff||beef,meat,red meat
beeflointenderloinsteak||beef,meat,red meat
beefribsmallendribs1012||beef,meat,red meat
beefshortlointoploinsteak||beef,meat,red meat
beefroundtoproundsteak2||beef,meat,red meat
beefroundeyeofroundroast2||beef,meat,red meat
bassstriped||fish,meat,offal,organ meat,seafood
bluefish||fish,seafood
burbot||fish,seafood
butterfish||fish,seafood
carp||fish,seafood
cisco||fish,seafood
cusk||fish,seafood
mahimahi||fish,seafood
drumfreshwater||fish,seafood
halibutgreenland||fish,seafood
milletflour||cereal,grain
pastawholegrain51wholewheatr2||cereal,grain
beefplatesteakinsideskirt||beef,meat,red meat
beefplatesteakoutsideskirt||beef,meat,red meat
beefribeyesteaklipoff||beef,meat,red meat
beefribbackribs||beef,meat,red meat
beeflointopsirloincapsteak||beef,meat,red meat
brickcheese||cheese,dairy
cottagecheesecreamedwithfrui||cheese,dairy
eggturkeyfresh||dairy,meat,poultry
goatcheesehardtype||cereal,cheese,dairy,grain
eggwhitefrozenpasteurized||dairy
325milkfatmilkwithoutaddedvi||dairy
drywhitecheesequesoseco||cheese,dairy
buttermilkmilkfluid||dairy
vinegardistilled||spice
vinegarredwine||spice
vinegarbalsamic||spice
seasoningmixsazoncorianderan||spice
seasoningmixtacooriginal||spice
canolaoil||fat,oil
mustardoil||fat,oil
vegetableoilsoybeanrefined||fat,legume,oil,pulse
chickenroastinglightmeat||meat,poultry
chickenstewing||meat,poultry
chickenstewingdarkmeat||meat,poultry
pheasantleg||meat,poultry
mothbeans||legume,pulse,seed
peanutsvalencia||legume,nut
peanutsvirginia||legume,nut
peanutflourlowfat||cereal,grain,legume
soyflourlowfat||cereal,grain,legume,pulse
soymealdefatted||legume,pulse
tofufirmpreparedwithcalciums||legume
tofuregularpreparedwithcalci||legume
lambrib||lamb,meat,red meat
lambcubedforsteworkaboblegan||lamb,meat,red meat
bisontopsirloin||game,meat,red meat
